VMName;RAM;RAM_percentage;RAM_LastAvgUse_Gb_SD;CPUCount;CPU_percentage;CPU_LastAvgUse_MHz_SD;NETWORK_LastInboundAvgUse_Kbps_P95;NETWORK_LastInboundAvgUse_Kbps_SD;NETWORK_LastOutboundAvgUse_Kbps_P95;NETWORK_LastOutboundAvgUse_Kbps_SD
1000095_WINDOWS_SERVER_2012_R2_DATACENTER_64Bits;4;100;1;2;9;331;90;38;62;78
100634_FUNDACION_CIDCA_WIN_2003_32BIT_NEW (8f6e8a9c-c313-4a0a-9ba7-6573eae022d8);24;100;0;12;1;158;0;0;0;1
1006695_WINDOWS_SERVER_2016_DATACENTER_64 (55f438ca-6813-43df-83fa-892ea2c0b78d);4;100;0;2;21;337;0;19;0;1
100854_SERFIN_Contardocloud (07200194-5a6a-4629-9242-d17b265099e0);8;100;0;8;10;585;5;7;7;13
100854_SERFIN_Contardocloud_0501;8;100;0;8;71;5810;34;13;20;9
107479_DEBIAN_6.0.8_64Bits (6af5ec21-3624-4336-a70f-e358e41b1e79);2;100;0;2;0;49;1;784;0;4
107481_PUENTE_DEBIAN_7.2_64Bits (9fd60125-f657-4912-8ad1-ea37619224b1);4;98;0;4;12;532;60;65;54;429
109430_WINDOWS_SERVER_2012_migrated;24;51;0;8;8;530;35;15;11;5
109432_WINDOWS_SERVER_2012_R2_STAND (a6c76906-5d40-48ec-9f0c-51fe6c5ab9d5);8;100;0;4;6;277;180;65;169;77
109432_WINDOWS_SERVER_2012_R2_STAND_2304;8;100;1;4;8;300;203;77;174;91
111175_WINDOWS_SERVER_2012_R2_STAND_0910;2;98;0;2;2;29;1;1;1;1
111177_WINDOWS_SERVER_2012_R2_STAND (9c430cae-4f2e-4e60-8567-ac3bad26cb20);36;99;5;8;3;179;0;5;0;450
111177_WINDOWS_SERVER_2012_R2_STAND_08102 (f0a0ec92-81a4-4da0-babd-60592082e5d9);20;100;1;8;15;1004;7140;2908;388;149
112631_FUNDACION_PLAN_WIN_2012_STD (a13e926e-2d6f-4442-adbb-8a90f93de295);8;100;0;4;4;459;7;24;4;27
113426_PROFESIONALES_CentOS_6.6_Bits (9e3f760c-527f-476f-b131-d822e894c755);8;91;0;4;103;3227;9;4;7;3
115292_EXPRESS_VPN_LLC_UBUNTU_14 (a2bbc298-c7ee-4a3f-88bb-66a239f6e0ed);16;40;1;2;48;502;2281;598;2320;610
115293_EXPRESS_VPN_UBUNTU_14 (383a9b51-d84d-401b-a898-d84d7852be02);16;59;2;2;39;518;2486;929;2591;943
115589_PAVIMENTO_WIN_2012_R2 (a926cfc5-a33c-4d67-8251-cfbeee0b9f6f);2;100;0;2;1;27;1;2;1;0
115877_WINDO_new;8;100;0;4;121;2169;820;307;118;42
115877_WINDOWS_SERVER_2012_R2_18112018 (800c5cd9-23d9-43be-91dc-7010fff30964);8;89;2;4;4;129;4;1;3;1
116565_192.168.10.7_NAVEGA_WIN_2008_R2_X6 (4e4abee8-05d0-4c6f-9041-253eeb690968);16;100;0;4;9;311;0;4;0;451
118157_PARKING_PRD_NOMINA (ff0f0b86-490e-4a09-8099-184bf6ca7970);8;100;0;6;4;159;2;2;2;3
120216_RECUPERACION_DATOS;4;73;0;4;1;3;0;0;0;0
120216_vHMC3;8;99;3;4;5;84;1;1;0;0
120220_PAPTYUZVM;4;100;0;4;5;110;152;29;25;5
120978_Zimbra2_Produccion;24;100;0;12;36;2999;778;274;2668;901
120983_ftpqos.ifxnetworks.com;8;25;0;2;2;16;0;0;0;0
120983_jip.ifxnetworks.com (4a705aba-3e76-4043-bdd9-e8b8132c2998);1;98;0;2;3;183;1;1;10;4
120990_DB2_ASPECT_REDHAT_ENTERPRISE (399f60cf-5083-45d7-a053-c2cec047bb2e);8;99;0;8;4;244;318;162;178;183
120990_rtp-proxy03 (a232f252-d5b1-44d6-89ab-b5ce5ad0f397);8;98;0;4;1;22;1;1;0;0
120990_S1_ASPECT_REDHAT_ENTERPRISE (118ff6aa-1eba-43e3-89ea-507ba319e984);8;100;0;8;1;57;489;107;112;22
121024_VIPMONITOREO (81429e1f-0ad5-4122-99c5-4fd28852a664);32;100;4;10;39;1392;1676;271;851;125
121141_ARASRVAPP01_WIN_SERVER_2012_R2_STD (589585ac-74d9-48cf-93ca-210a75dfee5f);10;100;1;4;4;323;1;2;8;14
